refe,h3_cell,loading_status,n_points,centroid_lat,centroid_lng,avg_heading,avg_speed,avg_vertical_speed,avg_height,avg_longitudinal_a,avg_lateral_a,avg_ratius_ot,avg_vehicle_w,avg_tkph_f,avg_tkph_r,avg_slope_percent,transparency
341139VBOX,8c661c94d7247ff,Loaded,6,7.913277640827075,-75.56879072403623,240.53,34.53,-0.98,67.15,-0.04,0.03,,974.3,1088.33,1022.33,-0.0167,0.0863
341139VBOX,8c661c94d7249ff,Empty,4,7.9135753049957085,-75.56864673724884,183.51,16.58,1.18,70.24,-0.01,0.06,,68.3,959.75,883.5,0.0725,0.0278
341139VBOX,8c661c94d7249ff,Loaded,15,7.9135753049957085,-75.56864673724884,341.51,20.44,-2.17,67.91,0.0,-0.18,,974.3,665.87,619.73,-0.0827,0.1283
341139VBOX,8c661c94d724bff,Empty,20,7.913435491857646,-75.56854449680294,66.04,24.54,0.32,71.09,0.04,0.07,,68.3,686.45,632.65,0.0455,0.205
341139VBOX,8c661c94d724bff,Loaded,17,7.913435491857646,-75.56854449680294,270.2,23.96,-1.2,69.36,-0.01,-0.11,,974.3,743.94,691.12,-0.0682,0.1702
341139VBOX,8c661c94d724dff,Empty,8,7.91356628624135,-75.56882097105789,180.03,17.31,1.43,67.49,-0.03,0.07,,68.3,488.75,457.88,0.0612,0.058
341139VBOX,8c661c94d7263ff,Empty,10,7.913119789168646,-75.56903695183524,58.8,28.66,-0.03,67.94,-0.02,0.01,,68.3,872.6,793.4,0.001,0.1196
341139VBOX,8c661c94d7263ff,Loaded,8,7.913119789168646,-75.56903695183524,235.8,22.64,-0.56,67.4,-0.14,0.0,,974.3,1030.88,970.25,-0.0025,0.0757
341139VBOX,8c661c94d7267ff,Empty,4,7.913110769990295,-75.5692111862649,59.38,37.39,0.32,71.12,0.02,0.04,,68.3,638.5,584.25,0.0075,0.0623
341139VBOX,8c661c94d726bff,Empty,2,7.913268621844291,-75.56896495814689,54.85,38.47,0.42,70.65,0.02,-0.02,,68.3,858.5,814.0,0.01,0.0321
341139VBOX,8c661c94d7303ff,Empty,10,7.912786044747978,-75.5698778794338,81.02,33.65,0.11,68.37,0.03,0.03,,68.3,872.6,793.4,-0.002,0.1403
341139VBOX,8c661c94d7303ff,Loaded,6,7.912786044747978,-75.5698778794338,261.83,29.74,-0.63,66.93,0.02,-0.03,,974.3,878.33,825.67,-0.005,0.0744
341139VBOX,8c661c94d7307ff,Empty,11,7.912777025015814,-75.57005211483781,87.16,31.71,-0.21,68.43,0.02,0.03,,68.3,899.45,828.36,-0.0018,0.1454
341139VBOX,8c661c94d7307ff,Loaded,4,7.912777025015814,-75.57005211483781,271.7,30.82,-0.57,68.54,0.01,-0.08,,974.3,858.5,814.0,-0.005,0.0514
341139VBOX,8c661c94d7315ff,Loaded,1,7.912646230426313,-75.56977563862644,257.8,29.84,-0.13,61.8,0.03,-0.03,,974.3,1548.0,1439.0,0.01,0.0124
341139VBOX,8c661c94d7319ff,Empty,8,7.912804083968257,-75.56952940913035,69.55,32.35,-0.12,68.78,0.02,0.02,,68.3,718.62,640.75,0.0025,0.1079
341139VBOX,8c661c94d7319ff,Loaded,9,7.912804083968257,-75.56952940913035,252.72,25.06,-0.5,66.75,0.04,-0.02,,974.3,1088.33,1022.33,-0.0089,0.0942
341139VBOX,8c661c94d731dff,Empty,10,7.912795064398789,-75.56970364419799,75.72,34.36,0.12,68.49,0.03,0.03,,68.3,872.6,793.4,0.0,0.1432
341139VBOX,8c661c94d731dff,Loaded,7,7.912795064398789,-75.56970364419799,256.47,28.3,-0.47,67.33,0.03,-0.02,,974.3,1137.0,1071.86,0.0014,0.0827
341139VBOX,8c661c94d7321ff,Empty,14,7.912758985307449,-75.57040058615034,88.22,25.65,-0.15,68.72,0.06,-0.01,,68.3,895.71,817.93,-0.0071,0.15
341139VBOX,8c661c94d7321ff,Loaded,6,7.912758985307449,-75.57040058615034,283.5,30.54,0.64,67.3,-0.02,0.02,,974.3,1088.33,1022.33,0.0167,0.0764
341139VBOX,8c661c94d7325ff,Empty,49,7.912749965331243,-75.57057482205889,29.33,7.23,-0.14,69.53,0.01,-0.0,,68.3,1178.14,1110.37,-0.0102,0.1509
341139VBOX,8c661c94d7325ff,Loaded,5,7.912749965331243,-75.57057482205889,275.66,30.83,0.17,67.62,-0.01,0.07,,974.3,1248.4,1175.0,0.014,0.0643
341139VBOX,8c661c94d732bff,Empty,10,7.9127680052023,-75.57022635040998,91.02,30.86,-0.64,68.36,0.04,-0.03,,68.3,872.6,793.4,-0.004,0.1287
341139VBOX,8c661c94d732bff,Loaded,7,7.9127680052023,-75.57022635040998,281.83,31.21,-0.05,66.44,-0.01,-0.06,,974.3,974.0,913.29,0.0114,0.0911
